args.feature_dim:  251
Dataset Wisconsin: num_nodes=251, feature_dim=1703, num_classes=5
params:  15623269
[split 5] Epoch 230, Loss: 0.3907, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
[split 5] Epoch 240, Loss: 0.3905, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
[split 5] Epoch 250, Loss: 0.3904, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
[split 5] Epoch 260, Loss: 0.3903, Val Acc: 0.7750, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
[split 5] Epoch 270, Loss: 0.3902, Val Acc: 0.7750, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
[split 5] Epoch 280, Loss: 0.3901, Val Acc: 0.7750, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
[split 5] Epoch 290, Loss: 0.3901, Val Acc: 0.7750, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
[split 5] Epoch 300, Loss: 0.3900, Val Acc: 0.7750, Test Acc: 0.8039, Test Pre: 0.7827, Test F1: 0.7841
Best Test Metrics for split 5: {'accuracy': 0.8431372549019608, 'precision': 0.8876634240150452, 'f1': 0.8361067175865173}
params:  15623269
[split 6] Epoch 010, Loss: 0.7105, Val Acc: 0.7625, Test Acc: 0.7843, Test Pre: 0.7292, Test F1: 0.7374
[split 6] Epoch 020, Loss: 0.4981, Val Acc: 0.8125, Test Acc: 0.8431, Test Pre: 0.8431, Test F1: 0.8203
[split 6] Epoch 030, Loss: 0.4545, Val Acc: 0.8625, Test Acc: 0.8627, Test Pre: 0.8937, Test F1: 0.8537
[split 6] Epoch 040, Loss: 0.4252, Val Acc: 0.8125, Test Acc: 0.8235, Test Pre: 0.8324, Test F1: 0.7986
[split 6] Epoch 050, Loss: 0.4115, Val Acc: 0.7875, Test Acc: 0.8039, Test Pre: 0.7462, Test F1: 0.7609
[split 6] Epoch 060, Loss: 0.4026, Val Acc: 0.8000, Test Acc: 0.8235, Test Pre: 0.8324, Test F1: 0.7986
[split 6] Epoch 070, Loss: 0.3982, Val Acc: 0.8000, Test Acc: 0.8235, Test Pre: 0.8324, Test F1: 0.7986
[split 6] Epoch 080, Loss: 0.3952, Val Acc: 0.8000, Test Acc: 0.8235, Test Pre: 0.8324, Test F1: 0.7986
[split 6] Epoch 090, Loss: 0.3934, Val Acc: 0.7875, Test Acc: 0.8235, Test Pre: 0.8324, Test F1: 0.7986
[split 6] Epoch 100, Loss: 0.3923, Val Acc: 0.7875, Test Acc: 0.8235, Test Pre: 0.8324, Test F1: 0.7986
[split 6] Epoch 110, Loss: 0.3916, Val Acc: 0.8000, Test Acc: 0.8039, Test Pre: 0.8284, Test F1: 0.7889
